trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2609020,61,2,"U-M Miller to Central Campus Transit Ctr",,0,9002,shp-61-02,1,1
1895020,6,2,"Ellsworth to Blake Transit Ctr",,0,1302,shp-6-10,1,1
470010,23,1,"Plymouth to Green Rd P&R",,1,201,shp-23-61,1,1
1327020,4,2,"Washtenaw to BTC",,0,5202,shp-4-06,1,1
2043020,64,2,"Geddes - E. Stadium to Central Campus Transit Ctr",,0,10102,shp-64-02,1,1
23020,46,2,"Paint Creek to Ypsilanti Transit Ctr",,0,6802,shp-46-51,1,1
2559070,44,3,"44 Ecorse Tyler to West Willow",,1,6507,shp-44-02,1,1
2145020,4,2,"Washtenaw to BTC",,0,5802,shp-4-06,1,1
196020,64,2,"Geddes - E. Stadium to Central Campus Transit Ctr",,0,10202,shp-64-02,1,1
995070,30,3,"Jackson Rd to BTC",,0,3507,shp-30-51,1,1
417020,4,2,"Washtenaw to YTC",,1,6202,shp-4-55,1,1
1497020,61,2,"U-M Miller to Miller Rd P+R",,1,9102,shp-61-51,1,1
2410020,33,2,"Newport to Warrington & Newport",,1,3902,shp-33-51,1,1
2306010,23,1,"Plymouth to Blake Transit Ctr",,0,201,shp-23-08,1,1
1638010,46,1,"Paint Creek to Ypsilanti Transit Ctr",,0,6601,shp-46-51,1,1
737010,45,1,"Grove to Ypsilanti Transit Ctr",,0,4201,shp-45-51,1,1
2113070,27,3,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3307,shp-27-04,1,1
3000010,30,1,"Jackson Rd to Meijer: Jackson Rd",,1,301,shp-30-05,1,1
2600070,23,3,"Plymouth to Blake Transit Ctr",,0,3607,shp-23-08,1,1
1355020,66,2,"Carpenter - Huron Pkwy to Pierpont Commons",,1,8202,shp-66-08,1,1
216070,43,3,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7407,shp-43-51,1,1
728010,23,1,"Plymouth to Green Rd P&R",,1,301,shp-23-61,1,1
1659070,30,3,"Jackson Rd to BTC",,0,3507,shp-30-51,1,1
1172020,68,2,"Harris -Ford to Gault Village",,1,7602,shp-68-03,1,1
66010,26,1,"Scio Church to Scio Ridge",,1,8101,shp-26-02,1,1
2303020,25,2,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3102,shp-25-52,1,1
1695020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1502,shp-31-04,1,1
191020,68,2,"Harris -Ford to Gault Village",,1,7602,shp-68-03,1,1
3056070,31,3,"Dexter Ave to Jackson & Wagnor",,1,3407,shp-31-51,1,1
1053070,66,3,"Carpenter - Huron Pkwy to Pierpont Commons",,1,10307,shp-66-08,1,1
707020,4,2,"Washtenaw to BTC",,0,4802,shp-4-06,1,1
2148070,45,3,"Grove to Harry & Grove",,1,7807,shp-45-03,1,1
